Pinyin,Wade-Giles,Romatzyh
диантаи,тиентаи,дианнтаир
дианзиыоуйиан,тиентзуыучиен,дианнтзыыыоуйианн
диао,тиао,диаw
диаоча,тиаоча,диаwчар
динг,тинг,динq
дингqи,тингчи,динqчи
донгбу,тунгпу,донгбух
донгли,тунгли,донqлих
донгрен,тунгйен,донqрен
дуже,туче,дwуйее
дуанчу,туанчу,доанчух
дуанку,туанку,доанкух
дуанqи,туанчи,доанчи
дуан,туан,дуанн
дуиыуан,туиыуан,дуеыыуан
дуидаи,туитаи,дуеыдаы
дуифанг,туифанг,дуеыфанг
дуишоу,туишоу,дуеышооу
дуиxианг,туихсианг,дуеышианq
дун,тун,дуенн
фабиао,фапиао,фабеау
фачу,фачу,фачу
фада,фата,фадар
фадонг,фатунг,фадонq
фаминг,фаминг,фаминг
фашенг,фашенг,фашенг
фасонг,фасунг,фасонq
фаыан,фаыан,фаыан
фажан,фачан,фаяан
фандуи,фантуи,фаандуеы
фанфу,фанфу,фаанфух
фаныинг,фаныинг,фааныинq
фанженг,фанченг,фаанйенq
фанwеи,фанwеи,фаннwеи
фангши,фангших,фангшых
фанг,фанг,фарнг
фангжи,фангчих,фарнгйыы
фангдонг,фангтунг,фарнгдонг
фангwу,фангwу,фарнгу
фангзу,фангцу,фарнгтзу
фангwен,фангwен,фаангwенн
фангдао,фангтао,фанqдаw
феиxинг,феихсинг,феишынг
феи,феи,феы
феиыонг,феиыунг,феыыонq
фенбие,фенпиех,фенбые
фенпеи,фенпеи,фенпеы
фензу,фенцу,фентзуу
фенгфу,фенгфу,фенгфух
фенгxиан,фенгхсиен,фенгшеан
фоудинг,фоутинг,фооудинq
фоурен,фоуйен,фооуренн
фужуанг,фучуанг,фwуюанг
фу,фу,фwу
фуму,фуму,фухмуу
фуqин,фучин,фухчин
фу,фу,фух
фузе,фуце,фухтзер
фуыин,фуыин,фухыинн
фуза,фуца,фухтзар
фу,фу,фух
гаийин,каичин,гаейинн
гаизао,каицао,гаетзаw
гаиниан,каиниен,гаынианн
ган,кан,гаан
гандао,кантао,гаандаw
ганйин,канчин,гаанйиин
ганкуаи,канкуаи,гаанкуаы
ган,кан,гаан
ганмао,канмао,гаанмаw
ганqинг,канчинг,гаанчынг
ганшоу,каншоу,гааншоw
ганма,канма,ганнма
гаосу,каосу,гаусух
гаосугонглу,каосукунглу,гаусухгонглух
гаобие,каопиех,гаwбые
геми,коми,геми
гешенг,кошенг,гешенг
гешоу,кошоу,гешооу
герен,койен,гехрен
геxинг,кохсинг,гехшинq
ге,ко,гех
геди,коти,гехдих
геwеи,коwеи,гехwеы
гежонг,кочунг,гехйоонг
гези,котзу,гехтзых
генбен,кенпен,генбеен
генгйиа,кенгчиа,генqйиа
гонгчанг,кунгчанг,гонгчаанг
гонгченгши,кунгченгших,гонгчернгшы
гонгфу,кунгфу,гонгфу
гонгю,кунгчу,гонгйиух
гонгые,кунгыех,гонгыех
гонгзи,кунгтзу,гонгтзы
гонгбу,кунгпу,гонгбух
гонггонг,кунгкунг,гонггонq
гонгкаи,кунгкаи,гонгкаи
гонгмин,кунгмин,гонгмин
гонгwуыуан,кунгwуыуан,гонгwухыуан
гонгфу,кунгфу,гонгфу
гонгке,кунгко,гонгкех
гонгненг,кунгненг,гонгненг
гонгтонг,кунгтунг,гонqторнг
гонгыоу,кунгыу,гонqыеоу
гунианг,кунианг,гунианг
гу,ку,гуу
гудаи,кутаи,гуудаы
гуxианг,кухсианг,гухшианг
гуа,куа,гуах
гуанжу,куанчу,гуанюх
гуанча,куанча,гуанчар
гуанкан,куанкан,гуанканн
гуанниан,куанниен,гуаннианн
гуанжонг,куанчунг,гуанйонq
гуан,куан,гоан
гуанли,куанли,гоанлии
гуанг,куанг,гуанг
гуангминг,куангминг,гуангминг
гуангбо,куангпо,гоангбо
гуангда,куангта,гоангдах
гуидинг,куеитинг,гуеидинq
гуифан,куеифан,гуеифанн
гуонеи,куонеи,гwонеы
гуоqинг,куочинг,гwочинq
гуоран,куоян,гуооран
гуожи,куочих,гуоойы
гуоченг,куоченг,гуохчернг
гуоqу,куочу,гуохчиух
хаха,хаха,хаха
хаигуан,хаикуан,хаегуан
хаипа,хаипа,хаыпах
ханг,ханг,харнг
хаохао,хаохао,хаохао
хаоqи,хаочи,хаwчыи
хе,хо,хер
хефа,хофа,херфаа
хеге,хоко,хергер
хели,холи,херлии
хезуо,хоцо,хертзуох
хепинг,хопинг,херпынг
хонгча,хунгча,хорнгчар
хонгйиу,хунгчиу,хорнгйеоу
хоугуо,хоукуо,хоwгуоо
хоуниан,хоуниен,хоwниан
хулианwанг,хулиенwанг,хухлианwоанг
хуxианг,хухсианг,хухшианг
хуачуан,хуачуан,хwачwан
хуарен,хуайен,хwарен
хуа,хуа,хуах
хуаю,хуачу,хуахйиух
хуати,хуати,хуахтыи
хуанле,хуанле,хуанлех
хуан,хуан,хwан
хуанбао,хуанпао,хwанбао
хуанйинг,хуанчинг,хwанйинq
хуиыи,хуии,хуеыыих
хуиыуан,хуиыуан,хуеыыуан
хуо,хуо,хwо
хуо,хуо,хуоо
йиqи,чичи,йичих
йийи,чичи,йийыи
йибен,чипен,йибеен
йичу,чичу,йичуу
йиши,чиших,йыишыр
…йиле,…йиле,…йиле
йити,чити,йыитии
йижонг,чичунг,йыийонг
йисуан,чисуан,йихсуанн
йилу,чилу,йихлух
йиже,чиче,йихйее
йилу,чилу,йихлух
йиниан,чиниен,йихнианн
йишу,чишу,йихшух
йиxу,чихсу,йихшиух
йиагонг,чиакунг,йиагонг
йиакуаи,чиакуаи,йиакуаы
йиаqианг,чиачианг,йиачыанг
йиаю,чиачу,йиайиух
йиашу,чиашу,йиашуу
йиаxианг,чиахсианг,йиашианг
йиаге,чиако,йиахгер
йиажи,чиачих,йиахйыр
йиа,чиа,йиах
йианчи,чиенчих,йианчыр
йианюе,чиенчуех,йианйыуе
йианqианг,чиенчианг,йианчыанг
йиандан,чиентан,йеандан
йианжи,чиенчих,йеанйыр
йиан,чиен,йианн
йианченг,чиенченг,йианнчернг
йианли,чиенли,йианнлих
йианше,чиенше,йианншех
йианыи,чиени,йианныих
йиангйин,чиангчин,йиангйинн
йианглаи,чианглаи,йианглаи
йиаофеи,чиаофеи,йиауфеы
йиаойинг,чиаочинг,йиауйиинг
йиаолиу,чиаолиу,йиаулиоу
йиаоwанг,чиаоwанг,йиауwоанг
йиаоыи,чиаои,йиауыих
йиао,чиао,йиаw
йиао,чиао,йиаw
йиаоцаи,чиаоцаи,йиаwцаир
йиаолиан,чиаолиен,йиаwлианн
йиедаи,чиехтаи,йиедаы
йиейин,чиехчин,йиейинн
йиеыуе,чиехыуех,йыеиуе
йиехе,чиеххо,йыехер
йиехун,чиеххун,йыехуен
йиешу,чиехшу,йыешух
йиеюе,чиехчуех,йиеейыуе
йиекаи,чиехкаи,йиеекаи
йин,чин,йин
йинпаи,чинпаи,йинпаир
йин,чин,йиин
йинйин,чинчин,йиинйиин
йинлианг,чинлианг,йиинлианq
йин,чин,йиин
йинйи,чинчи,йиинйыи
йинжанг,чинчанг,йиинянг
йинбу,чинпу,йиннбух
йинжан,чинчан,йинняан
йинqи,чинчи,йиннчи
йингю,чингчу,йингйиух
йингйи,чингчи,йингйих
йингли,чингли,йинглих
йингыан,чингыан,йингыанн
йингыинг,чингыинг,йингынг
йингцаи,чингцаи,йингцае
йингшен,чингшен,йингшерн
йингсе,чингсе,йиингсех
йингча,чингча,йиингчар
йинг,чинг,йинq
йиу,чиу,йеоу
йиу,чиу,йиоw
йиу,чиу,йиоw
йиуши,чиуших,йиоwшых
йиуые,чиуыех,йиоwыех
юбан,чупан,йеубанн
юти,чути,йиухтии
юыоу,чуыу,йиухыеоу
ючанг,чучанг,йиухчаанг
юшуо,чушуо,йиухшуо
юединг,чуехтинг,йыуединq
юесаи,чуехсаи,йыуесаы
юеxин,чуеххсин,йыуешин
юедуи,чуехтуи,йыуедуеы
кафеи,кафеи,кафеи
каифа,каифа,каифа
каифанг,каифанг,каифанq
каиши,каиших,каишыы
каиые,каиыех,каиыех
каижан,каичан,каияан
каоыан,каоыан,каоыанн
кейи,кочи,кейих
кекао,кокао,кеекаw
келе,коле,кеелех
кефу,кофу,кехфwу
кегуан,кокуан,кехгуан
кеченг,коченг,кехчернг
конг,кунг,конг
конгтиао,кунгтиао,конгтыау
конгпа,кунгпа,коонгпах
конгр,кунгр,конqр
кузи,кузи,кухзи
куаису,куаису,куаысух
кун,кун,куенн
лангфеи,лангфеи,ланqфеы
лаобаиxинг,лаопаихсинг,лаобаешинq
лаобан,лаопан,лаобаан
лаотаитаи,лаотаитаи,лаотаытаи
лаотоур,лаотоур,лаотоурр
ле,ле,лех
легуан,лекуан,лехгуан
леи,леи,леы
леиси,леиссу,леысых
лихун,лихун,лихуен
лимиан,лимиен,лиимианн
лифа,лифа,лиифах
лийие,личиех,лиийиее
лилун,лилун,лиилуенн
лиыоу,лиыу,лииыоу
ли,ли,лих
лике,лико,лихкех
лиыонг,лиыунг,лихыонq
лиан,лиен,лиан
лианманг,лиенманг,лианманг
лианxу,лиенхсу,лианшиух
лианxую,лиенхсучу,лианшиухйиух
лианхе,лиенхо,лианхер
лианхегуо,лиенхокуо,лианхергwо
лианxи,лиенхси,лианших
лиангшуи,лиангшуи,лиангшоеи
ле,ле,ле
линг,линг,лиинг
лингдао,лингтао,лиингдао
лингxиан,лингхсиен,лиингшиан
лингwаи,лингwаи,линqwаы
лиуxуе,лиухсуех,лиоушыуе
лонг,лунг,лонг
лу,лу,лух
луыин,луыин,лухин
луxиан,лухсиен,лухшианн
луан,луан,луанн
луохоу,лохоу,луоххоw
мафан,мафан,мафан
ма,ма,маа
манзу,манцу,маантзwу
манман,манман,маннманн
мао,мао,мау
маобинг,маопинг,маубинq
меиыонг,меиыунг,меиыонq
меити,меити,меитии
меи,меи,мееи
меи,меи,мееи
меихао,меихао,мееихао
меили,меили,мееилих
меиши,меиших,мееишыр
меишу,меишу,мееишух
меиыуан,меиыуан,мееиыуан
ми,ми,ми
ми,ми,мии
миандуи,миентуи,мианндуеы
мианйи,миенчи,мианнйи
минйиан,минчиен,минйиан
минзу,минцу,минтзwу
мингqуе,мингчуех,мингчиуех
мингxиан,мингхсиен,мингшеан
мингыун,мингыун,минqыунн
моу,моу,мооу
муqин,мучин,муучин
мутоу,мутоу,мухтоу
мубиао,мупиао,мухбиау
муqиан,мучиен,мухчыан
наича,наича,наечар
нанзи,нантзу,нантзыы
нанбу,нанпу,нанбух
нандао,нантао,нандаw
нанду,нанту,нандух
неи,неи,неы
неиронг,неиюнг,неыронг
неиxин,неихсин,неышин
ненгбуненг,ненгбуненг,ненгбуненг
ненгли,ненгли,ненглих
нианчу,ниенчу,нианчу
ниандаи,ниентаи,ниандаы
нианди,ниенти,ниандии
нианйи,ниенчи,нианйих
ниан,ниен,нианн
ниу,ниу,ниоу
нонгцун,нунгцун,нонгцуен
нонгмин,нунгмин,нонгмин
нонгые,нунгыех,нонгыех
нуанхуо,нуанхуо,ноанхуо
па,па,пах
паи,паи,паи
паи,паи,паир
паиминг,паиминг,паирминг
паизи,паизи,паирзи
паи,паи,паы
пандуан,пантуан,панндуанн
паобу,паопу,паобух
пеи,пеи,пеы
пеихе,пеихо,пеыхер
пипинг,пипинг,пипынг
пижун,пичун,пийоен
пи,пи,пыи
пибао,пипао,пыибау
пийиу,пичиу,пыийеоу
пиаойиа,пиаочиа,пиаwйиах
пингйиа,пингчиа,пынгйиах
пинггуо,пингкуо,пынггуоо
по,по,пох
похуаи,похуаи,поххуаы
пубиан,пупиен,пуубианн
пуйи,пучи,пууйыи
qи,чи,чи
qи,чи,чыи
qици,читзу,чыицых
qиши,чиших,чыишыр
qигуаи,чикуаи,чыигуаы
qихоу,чихоу,чиххоw
qианwан,чиенwан,чианwанн
qианхоу,чиенхоу,чыанхоw
qианйин,чиенчин,чыанйинн
qианмиан,чиенмиен,чыанмианн
qианwанг,чиенwанг,чыанwоанг
qианг,чианг,чыанг
qиангда,чиангта,чыангдах
qиангдиао,чиангтиао,чыангдиаw
qианглие,чианглиех,чыанглиех
qиао,чиао,чыау
qиао,чиао,чеау
qин,чин,чин
qинqие,чинчиех,чинчиех
qинрен,чинйен,чинрен
qинзи,чинтзу,чинтзых
qингган,чингкан,чынггаан
qингкуанг,чингкуанг,чынгкуанq
qингйиао,чингчиао,чиингйиаw
qингжу,чингчу,чинqюх
qиуми,чиуми,чыоуми
qу,чу,чиу
qубие,чупиех,чиубые
qуxиао,чухсиао,чеушиау
qуши,чуших,чиухшых
qуанчанг,чуанчанг,чыуанчаанг
qуанмиан,чуанмиен,чыуанмианн
qуанqиу,чуанчиу,чыуанчыоу
qуе,чуех,чиуе
qуедиан,чуехтиен,чиуедеан
qуешао,чуехшао,чиуешао
qуебао,чуехпао,чиуехбао
qуединг,чуехтинг,чиуехдинq
qуеши,чуехших,чиуехшыр
qунзи,чунзи,чыунзи
qун,чун,чыун
ре’аи,йеаи,рехаы
релие,йелиех,рехлиех
ренцаи,йенцаи,ренцаир
ренгонг,йенкунг,ренгонг
ренлеи,йенлеи,ренлеы
ренмин,йенмин,ренмин
ренминби,йенминпи,ренминбих
ренqун,йенчун,ренчыун
реншенг,йеншенг,реншенг
реныуан,йеныуан,реныуан
ренчу,йенчу,реннчу
ренке,йенко,реннкее
рен,йен,ренн
рен,йен,ренн
ренхе,йенхо,реннхер
ренwу,йенwу,реннwу
ренг,йенг,ренг
ренгран,йенгян,ренгран
ричанг,йихчанг,рыхчарнг
ронгыи,юнги,ронгыих
рухе,юхо,рухер
санбу,санпу,саннбух
шафа,шафа,шафа
шази,шази,шази
шанг,шанг,шанг
шангxин,шангхсин,шангшин
шангпин,шангпин,шангпиин
шангые,шангыех,шангыех
шанглаи,шанглаи,шанqлаи
шангмиан,шангмиен,шанqмианн
шангqу,шангчу,шанqчиух
шангшенг,шангшенг,шанqшенг
шангыи,шанги,шанqи
шебеи,шепеи,шехбеы
шейи,шечи,шехйих
шели,шели,шехлих
шехуи,шехуи,шеххуеы
шенфенженг,шенфенченг,шенфеннйенq
шен,шен,шен
шенке,шенко,шенкех
шенру,шеню,шенрух
шенг,шенг,шенг
шенг,шенг,шенг
шенгчан,шенгчан,шенгчаан
шенгцун,шенгцун,шенгцwен
шенгдонг,шенгтунг,шенгдонq
шенгминг,шенгминг,шенгминq
шенгжанг,шенгчанг,шенгяанг
шенгминг,шенгминг,шенгминг
шенг,шенг,шенq
шенгли,шенгли,шенqлих
шиqу,шихчу,шычиух
шитоу,шихтоу,шыртоу
шиыоу,шихыу,шырыоу
ши,ших,шыр
шидаи,шихтаи,шырдаы
шике,шихко,шыркех
шийишанг,шихчишанг,шырйихшанq
шили,шихли,шырлих
шиxинг,шиххсинг,шыршынг
шиыан,шихыан,шырыанн
шиыанши,шихыанших,шырыанншых
шипин,шихпин,шырпиин
ши,ших,шыы
шижонг,шихчунг,шыыйонг
шийи,шихчи,шыхйих
шийие,шихчиех,шыхйиех
шийиебеи,шихчиехпеи,шыхйиехбеи
шичанг,шихчанг,шыхчаанг
шигу,шихку,шыхгух
шийиан,шихчиен,шыхйианн
шиши,шихших,шыхшыр
шишишанг,шихшихшанг,шыхшыршанq
шиые,шихыех,шыхыех
шити,шихти,шыхтыи
шиыан,шихыан,шыхыанн
шихе,шиххо,шыххер
шиыинг,шихыинг,шыхыинq
шиыонг,шихыунг,шыхыонq
ши,ших,шых
шоуфеи,шоуфеи,шоуфеы
шоукан,шоукан,шоуканн
шоутинг,шоутинг,шоутинг
шоуыинйи,шоуыинчи,шоуинйи
шоуxу,шоухсу,шооушиух
шоужи,шоучих,шооуйыы
шоуду,шоуту,шооуду
шоуxиан,шоухсиен,шооушиан
шоу,шоу,шоw
шоушанг,шоушанг,шоwшанг
шуйиа,шучиа,шуйиах
шу,шу,шу
шуру,шую,шурух
шурен,шуйен,шwурен
шу,шу,шуу
шуыу,шуыу,шууыу
шу,шу,шух
шулианг,шулианг,шухлианq
шуанг,шуанг,шуанг
шуангфанг,шуангфанг,шуангфанг
сиxианг,ссухсианг,сышеанг
си,ссу,сыы
суду,суту,сухдух
суи,суи,сwеи
суо,со,суоо
таи,таи,таир
тан,тан,тарн
танхуа,танхуа,тарнхуах
танпан,танпан,тарнпанн
танг,танг,танг
танг,танг,тарнг
тесе,тесе,техсех
тиqиан,тичиен,тыичыан
тиwен,тиwен,тыиwенн
тиму,тиму,тыимух
тихуи,тихуи,тиихуеы
тиxиан,тихсиен,тиишианн
тиыан,тиыан,тииыанн
тианконг,тиенкунг,тианконг
тиан,тиен,тыан
тиао,тиао,тыау
тиаоженг,тиаоченг,тыауйеенг
тиао,тиао,тиаw
тиаогао,тиаокао,тиаwгау
тиаоwу,тиаоwу,тиаwwуу
тиаоыуан,тиаоыуан,тиаwыеуан
тие,тиех,тиее
тиелу,тиехлу,тиеелух
тингли,тингли,тинглих
тингжонг,тингчунг,тингйонq
тингжи,тингчих,тынгйыы
тонгчанг,тунгчанг,тонгчарнг
тонгxин,тунгхсин,тонгшинн
тонгыи,тунги,торнгыих
тонг,тунг,тонq
тонгку,тунгку,тонqкуу
тоу,тоу,тоур
тоунао,тоунао,тоурнао
тучу,тучу,тучу
туран,туян,туран
ту,ту,тwу
тухуа,тухуа,тwухуах
ту,ту,туу
туан,туан,тwан
туанйие,туанчиех,тwанйые
туанти,туанти,тwантии
туидонг,туитунг,туеидонq
туигуанг,туикуанг,туеигоанг
туийин,туичин,туеийинн
туикаи,туикаи,туеикаи
туи,туи,туеы
туичу,туичу,туеычу
туиxиу,туихсиу,туеышиоу
wаийиао,wаичиао,wаыйиау
wаимиан,wаимиен,wаымианн
wаиwен,wаиwен,wаыwен
wанмеи,wанмеи,wанмееи
wаншан,wаншан,wаншанн
wанженг,wанченг,wанйеенг
wаню,wанчу,wанйиух
wангwанг,wангwанг,wоангwоанг
wеихаи,wеихаи,уеихаы
wеиxиан,wеихсиен,уеишеан
wеи,wеи,wеи
wеи,wеи,wеы
wеи,wеи,wеи
wеида,wеита,wоеидах
wеишенг,wеишенг,wеышенг
wеишенгйиан,wеишенгчиен,wеышенгйиан
wеиле,wеиле,wеыле
wеннуан,wеннуан,уенноан
wенхуа,wенхуа,wенхуах
wенйиан,wенчиен,wенйианн
wенминг,wенминг,wенминг
wенxуе,wенхсуех,wеншыуе
wенжанг,wенчанг,wенянг
wензи,wентзу,wентзых
wошоу,wошоу,wохшооу
wузи,wузи,узи
wуqи,wучи,wуучих
wушу,wушу,wуушух
wутаи,wутаи,wуутаир
xибу,хсипу,шибух
xиwанг,хсиwанг,шиwанq
xи,хси,ших
xиамиан,хсиамиен,шиахмианн
xиаqу,хсиачу,шиахчиух
xианйин,хсиенчин,шианйинн
xианде,хсиенде,шеанде
xианран,хсиенян,шеанран
xианши,хсиенших,шеаншых
xианчанг,хсиенчанг,шианнчаанг
xиандаи,хсиентаи,шианндаы
xианйин,хсиенчин,шианнйин
xианши,хсиенших,шианншыр
xианxианг,хсиенхсианг,шианншианq
xиан,хсиен,шианн
xиангби,хсиангпи,шиангбии
xиангданг,хсиангтанг,шиангданг
xианггуан,хсиангкуан,шианггуан
xиангху,хсиангху,шиангхух
xиангси,хсиангссу,шиангсых
xианг,хсианг,шианг
xиангйиао,хсиангчиао,шиангйиау
xиаофеи,хсиаофеи,шиауфеы
xиаоши,хсиаоших,шиаушы
xиаоxи,хсиаоxи,шиауxи
xиаогуо,хсиаокуо,шиаwгуоо
xиезуо,хсиехцо,шиеетзуох
xуе,хсуех,шиуех
xин,хсин,шин
xин,хсин,шинн
xинфенг,хсинфенг,шиннфенг
xинрен,хсинйен,шиннренн
xингченг,хсингченг,шынгчернг
xингши,хсингших,шынгшых
xингxианг,хсингхсианг,шынгшианq
xингжуанг,хсингчуанг,шынгюанq
xингфу,хсингфу,шинqфwу
xингыун,хсингыун,шинqыунн
xинг,хсинг,шинq
xингбие,хсингпиех,шинqбые
xингге,хсингко,шинqгер
xиу,хсиу,шиоу
xиугаи,хсиукаи,шиоугае
xуqиу,хсучиу,шиучыоу
xуыао,хсуыао,шиуыаw
xуанбу,хсуанпу,шиуанбух
xуанчуан,хсуанчуан,шиуанчwан
xуаншоу,хсуаншоу,шеуаншооу
xуефеи,хсуехфеи,шыуефеы
xунлиан,хсунлиен,шиуннлианн
ыа,ыа,иа
ыали,ыали,иалих
ыан,ыан,иан
ыанqиан,ыанчиен,ыеанчыан
ыан,ыан,ыеан
ыанчанг,ыанчанг,ыеанчанq
ыанчангхуи,ыанчангхуи,ыеанчанqхуеы
ыанчу,ыанчу,ыеанчу
ыаныуан,ыаныуан,ыеаныуан
ыанг,ыанг,ыанг
ыанггуанг,ыангкуанг,ыанггуанг
ыаоши,ыаоши,ыаwши
ыийиа,ичиа,ийиах
ыи,и,ыии
ыилаи,илаи,ыиилаи
ыишу,ишу,ыихшух
ыиwаи,иwаи,ыихwаы
ыиыи,ии,ыихыих
ыинци,ыинтзу,инцыы
ыин,ыин,ын
ыинпаи,ыинпаи,ынпаир
ыинxианг,ыинхсианг,ыинншианq
ыингданг,ыингтанг,ингданг
ыингйие,ыингчиех,ынгйие
ыингыанг,ыингыанг,ынгыеанг
ыинг,ыинг,ынг
ыингши,ыингших,ыиингшых
ыингыонг,ыингыунг,ыинqыонq
ыоудиан,ыутиен,иоудеан
ыоуши,ыуших,иоушых
ыоу,ыу,ыоу
ыоуыу,ыуыу,ыоуыу
ыоуйиан,ыучиен,ыоуйианн
ыоупиао,ыупиао,ыоупиаw
ыоуxианг,ыухсианг,ыоушианг
ыоу,ыу,ыоу
ыоуxи,ыухси,ыоуших
ыоуыонг,ыуыунг,ыоуыеонг
ыоудеши,ыудеших,ыеоудешых
ыоули,ыули,ыеоулих
ыоуxиао,ыухсиао,ыеоушиаw
ыубао,ыупао,ыухбаw
ыуфанг,ыуфанг,ыухфарнг
ыуйи,ыучи,ыухйих
ыуxи,ыухси,ыухшыи
ыуан,ыуан,ыуан
ыуангонг,ыуанкунг,ыуангонг
ыуанwанг,ыуанwанг,ыуаннwанq
ыуе,ыуех,иуе
ыуедуи,ыуехтуи,ыуехдуеы
ыуншу,ыуншу,ыунншу
зажи,цачих,тзарйых
заоыи,цаои,тзаоыии
зао,цао,тзаw
заоченг,цаоченг,тзаwчернг
зерен,цейен,тзерренн
зенгйиа,ценгчиа,тзенгйиа
зенгжанг,ценгчанг,тзенгяанг
жанкаи,чанкаи,яанкаи
жанг,чанг,янг
жао,чао,яw
же,че,йее
женши,ченших,йеншыр
женг,ченг,йенг
женгqу,ченгчу,йенгчеу
женг,ченг,йеенг
женгге,ченгко,йеенггех
женгли,ченгли,йеенглии
женгqи,ченгчи,йеенгчыи
женгти,ченгти,йеенгтии
женгтиан,ченгтиен,йеенгтиан
женгженг,ченгченг,йеенгйеенг
женг,ченг,йенq
женгши,ченгших,йенqшых
женг,ченг,йенq
женгйиан,ченгчиен,йенqйианн
женгю,ченгчу,йенqйиух
женгминг,ченгминг,йенqминг
жи,чих,йы
жичи,чихчих,йычыр
жифу,чихфу,йыфух
жи,чих,йы
жи,чих,йыр
жибо,чихпо,йырбо
жидао,чихтао,йырдаw
жи,чих,йыр
жиде,чихде,йырде
жигонг,чихкунг,йыргонг
жиые,чихыех,йырыех
жихао,чиххао,йыыхао
жиши,чихших,йыышых
жиыоу,чихыу,йыыыеоу
жи,чих,йыы
жичу,чихчу,йыычу
жидао,чихтао,йыыдао
жийин,чихчин,йыхйин
жишао,чихшао,йыхшао
жиыуан,чихыуан,йыхыуанн
жиыуанже,чихыуанче,йыхыуаннйее
жидинг,чихтинг,йыхдинq
жиду,чихту,йыхдух
жизао,чихцао,йыхтзаw
жизуо,чихцо,йыхтзуох
жонгбу,чунгпу,йонгбух
жонгхуаминзу,чунгхуаминцу,йонгхwаминтзwу
жонгыу,чунгыу,йонгыу
жонг,чунг,йонг
жонг,чунг,йоонг
жонгзи,чунгзи,йоонгзи
жонгда,чунгта,йонqдах
жоуwеи,чоуwеи,йоуwеи
жу,чу,ю
жучи,чучих,юучыр
жудонг,чутунг,юудонq
журен,чуйен,юуренн
жуыи,чуыи,юуыи
жужанг,чучанг,юуянг
жуыи,чуи,юхыих
жу,чу,юх
жуа,чуа,юа
жуажу,чуачу,юаюх
жуанйиа,чуанчиа,юанйиа
жуанмен,чуанмен,юанмен
жуанти,чуанти,юантыи
жуаные,чуаныех,юаныех
жуан,чуан,юанн
жуанбиан,чуанпиен,йоанбианн
жуангкуанг,чуангкуанг,юанqкуанq
жуангтаи,чуангтаи,юанqтаы
жун,чун,йоен
зиге,тзуко,тзыгер
зийин,тзучин,тзыйин
зицонг,тзуцунг,тзыхцорнг
зидонг,тзутунг,тзыхдонq
зиюе,тзучуех,тзыхйыуе
зиран,тзуян,тзыхран
зишен,тзушен,тзыхшен
зижу,тзучу,тзыхюу
зонг,цунг,тзоонг
зонгйие,цунгчиех,тзоонгйые
зонгши,цунгших,тзоонгшых
зугоу,цукоу,тзwугоw
зуqиу,цучиу,тзwучыоу
зухе,цухо,тзуухер
зуоыоу,цоыу,тзуооыоw
зуопин,цопин,тзуохпиин
зуоже,цоче,тзуохйее
аыи,аи,аыи
аи,аи,ае
аиxиао,аихсиао,аешеау
аигуо,аикуо,аыгwо
аиху,аиху,аыхух
ан,ан,ан
анжи,анчих,анйых
анши,анших,анншыр
ан,ан,анн
анши,анших,анншых
баши,паших,башых
баихуо,паихуо,баехуох
баи,паи,бае
баидонг,паитунг,баедонq
баитуо,паито,баетуо
баи,паи,баы
банши,панших,банншых
баогуо,паокуо,баугуоо
баохан,паохан,баухарн
баокуо,паокуо,баукуох
бао,пао,бао
баобао,паобао,баобао
баобеи,паопеи,баобеы
баогуи,паокуеи,баогуеы
баоши,паоших,баошыр
баоми,паоми,баомих
баошоу,паошоу,баошооу
бао,пао,баw
беийинг,пеичинг,беыйиинг
беи,пеи,беы
беипо,пеипо,беыпох
бенке,пенко,беенке
бен,пен,бенн
бифен,пифен,биифен
биые,пиыех,бихыех
биыешенг,пиыехшенг,бихыехшенг
би,пи,бих
бимиан,пимиен,бихмеан
биан,пиен,биан
бианлун,пиенлун,бианнлуенн
биаожи,пиаочих,биауйых
биаоqинг,пиаочинг,беаучынг
биаоыанг,пиаоыанг,беауыанг
бие,пиех,бые
бинг,пинг,бинг
бингxианг,пингхсианг,бингшианг
бингxуе,пингхсуех,бингшеуе
бинг,пинг,бинг
бинг,пинг,бинq
бугуан,пукуан,бухгоан
буран,пуян,бухран
бужи,пучих,бухйых
буxинг,пухсинг,бухшынг
ца,ца,ца
цаи,цаи,цаир
цаилиао,цаилиао,цаирлиаw
цаичан,цаичан,цаирчаан
цаифу,цаифу,цаирфух
цаифанг,цаифанг,цаефаанг
цанкао,цанкао,цанкао
цаныу,цаныу,цаныух
цаочанг,цаочанг,цаучаанг
цаозуо,цаоцо,цаутзуох
це,це,цех
целианг,целианг,цехлианг
цеши,цеших,цехшых
ценг,ценг,цернг
чаые,чаыех,чарыех
чанпин,чанпин,чаанпиин
чангту,чангту,чарнгтwу
чангши,чангших,чарнгшыр
чангпиан,чангпиен,чанqпианн
чао,чао,чау
чаоxие,чаохсиех,чаушиее
чао,чао,чаур
чаолиу,чаолиу,чаурлиоу
чаоши,чаоших,чауршы
чеди,чети,чехдии
чен,чен,черн
ченмо,ченмо,чернмох
ченжонг,ченчунг,чернйонq
ченгзан,ченгцан,ченгтзанн
ченгрен,ченгйен,чернгрен
ченгши,ченгших,чернгшыр
ченгxин,ченгхсин,чернгшинн
ченгдан,ченгтан,чернгдан
ченгрен,ченгйен,чернгренн
ченгшоу,ченгшоу,чернгшоw
ченгxу,ченгхсу,чернгшиух
чийинг,чихчинг,чыйинг
